id,course_name,instructor,course_description,course_duration,level,discount_price,original_price
860,SQL Server SSAS (Multidimensional MDX) - an Introduction,Phillip Burton,"Create cubes from databases, analyse them in Excel, SSRS etc. using SSAS MDX (a Business Intelligence tool)",8,Beginner,1214.955,2789.955
5011,Double Your Coding Speed with Visual Studio and ReSharper,Engineer Spock,Learn how to speed up the coding process in bear Visual Studio 2017 and VS empowered by ReSharper (R#),3,All Levels,1439.955,0
850,"NativeScript + Angular: Build Native iOS, Android & Web Apps","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Use one Angular + NativeScript codebase to build native iOS, Android and web apps and learn NativeScript from scratch.",20,All Levels,1034.955,3824.955
4790,The HTML Web developer Bootcamp,Daniel Hovd,Front end Web design in HTML,2,All Levels,1034.955,3059.955
4847,Build an API with Python | Django |PostgreSQL|REST Framework,Bluelime Learning Solutions,Learn how to Build a REST API  from scratch,2,Beginner,1034.955,2699.955
4697,Node.Js: Learning Koa.Js By Building REST APIs,Haider Malik,"The complete guide to build REST APISs with Koa.Js, Sequelize And Mysql",3,Intermediate,1034.955,5399.955
367,SQL Server Administration Part1,Raphael Asghar,SQL Education with a purpose,10,Beginner,899.955,1034.955
2270,Apache Beam | Google Data Flow (Python),Navdeep Kaur,Complete Hands on Apache Beam | Batch & Streaming pipelines | Beam SQL & Google Cloud Dataflow.,3,Intermediate,1034.955,1214.955
365,C Programming Bootcamp - The Complete C Language Course,Vlad Budnitski,C Programming 2022: Master the Fundamentals of C Programming Language. Join the Comprehensive C Bootcamp Masterclass!,44,All Levels,1214.955,3689.955
2162,Learn Flowcharting. Be a Professional programmer!,"ProTech Academy, Ashraf Said",Learn the most important skills for programmers,1,All Levels,1214.955,5849.955
1163,Introduction to Java EE,Ocho Tech,Learn the Fundamentals of Java EE and Learn How to Package & Deploy an App,1,Beginner,899.955,1034.955
3241,Cluster Analysis- Theory & workout using  SAS and R,Gopal Prasad Malakar,"Unsupervised Machine Learning  : Hierarchical & non hierarchical clustering (k-means), theory & SAS / R program",6,All Levels,1214.955,1889.955
2282,LEARNING PATH: Azure: Explore Azure Functions and Logic Apps,Packt Publishing,Learn Azure functions and logic apps with up-to-date techniques and practical examples,6,Beginner,1214.955,5849.955
2476,Learn GIT In depth with BitBucket- Practical work flows,"QA Test Academy, Rahul Shetty","Learn smart ways of using GIT & Bitbucket with many advanced Commands - commit,merge,squash,rebase,bisect,cherrypick etc",6,All Levels,1034.955,5399.955
4007,,,,0,,0,0
4515,Build Mobile eCommerce & Shop App with Flutter & Firebase,Coding Cafe,"Learn Flutter 2.0 & Firestore, Dart & Provider and Develop Android & iOS AliExpress, FlipKart & Amazon Clone Application",10,All Levels,899.955,1034.955
3539,Data Analysis with Python: NumPy & Pandas Masterclass,"Maven Analytics, Chris Bruehl","Learn NumPy & Pandas for data science, data analysis & business intelligence, with practical, hands-on Python projects!",13,All Levels,1034.955,5399.955
2547,A Comprehensive Introduction to Java Virtual Machine (JVM),Dheeru Mundluru,"Understand JVM internals like Class Loading, Reflection, Garbage Collection, Heap & Stack and Bytecode Instruction Set!",4,All Levels,1034.955,1214.955
4558,Build A Restaurant Site With Python and Django,Mahmoud Ahmed,Build A Real Restaurant System With Python & Django [Resturant - Reserve Tables - Blog - About - Contact ],6,Beginner,899.955,1034.955
3439,Python and Flask Full-Stack Web Development for beginners,Bluelime Learning Solutions,Learn to create and deploy web applications with Python and Flask,35,Beginner,1034.955,5399.955
2194,Intro To PHP For Web Development,John Elder,Learn PHP for Web Development. Php is a popular Programming Language for a reason! Become a backend coder today!,6,Beginner,1214.955,5849.955
3925,Web Security: Common Vulnerabilities And Their Mitigation,Loony Corn,"A guide to dealing with XSS, session hijacking, XSRF, credential management, SQLi and a whole lot more",8,All Levels,1439.955,3239.955
2379,The Complete NodeJS Course: Build a Full Business Rating App,"Uzochukwu Eddie Odozi, Suppoman ™","Go from Beginner to Advanced by using Node.js, MongoDB, Express and Mongoose to build web applications!",12,All Levels,1214.955,5849.955
4187,Stripe In Practice,Angular University,"Build your own online eCommerce store and subscription membership website with Stripe, Firebase, Node & Express",6,All Levels,1034.955,2924.955
3941,50 popular coding interview problems,Inside Code,Prepare for your coding interview with these 50 solved and explained popular coding problems,8,Intermediate,1214.955,2159.955
3608,Database modeling with golang & postgresql,VJ Bambhaniya,Learn how to do all DBMS directly from golang to postgresql.,2,Intermediate,899.955,1034.955
2854,Python GUI Programming Recipes using PyQt5,Packt Publishing,Learn to design a UI with help of PyQT5,4,Intermediate,1214.955,3509.955
4510,NestJS - Building Real Project API From Scratch,Oleksandr Kocherhin,"Learn Nest, Typescript, Node, Postgresql, TypeORM, Express, REST Backend by building API for real application",8,Intermediate,1439.955,2924.955
1068,Blazor - The Complete Guide (WASM & Server .NET Core 5),"DotNet Mastery, Bhrugen Patel","Build real world resort booking website using Blazor Server, Blazor WASM and .NET 5(.NET Core) API and deploy to azure.",15,Beginner,899.955,1034.955
480,Master Computer Vision™ OpenCV4 in Python with Deep Learning,Rajeev D. Ratan,"Master OpenCV4 like a pro while learning Dlib, Deep Learning Computer Vision (Keras, TensorFlow & Caffe) + 21 Projects!",11,All Levels,1034.955,3824.955
4454,Projects in Bootstrap 4: Learn by Building Apps,"Eduonix Learning Solutions, Eduonix-Tech ., Samy Eduonix",Learn real world Bootstrap development by building professional websites,6,Beginner,1214.955,2159.955
1231,Java Programming: Step by Step from A to Z,Holczer Balazs,Everything you need to know about Java programming to make you first steps as a software engineer,9,All Levels,1214.955,6299.955
4135,Clojure Fundamentals For Beginners,"Eduonix Learning Solutions, Eduonix-Tech .",Introduction to the Clojure programming language from ground up,5,Intermediate,1214.955,1889.955
2098,Technical Analysis with Python for Algorithmic Trading,Alexander Hagmann,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with Python",13,Intermediate,1214.955,5849.955
1021,AngularJS 1.0 Masterclass - Deep Dive & Understand AngularJS,Sandip Gautam,"Understand Core Concepts, Create Custom Directives, Custom Services, Routing and Hands On Using Modularized Approach.",6,All Levels,899.955,1034.955
4998,"Python: Coding Guidelines, Tools, Tests and Packages [2022]",Jan Schaffranek,"Step ahead in your Python career and learn about PEP8, Unit-Testing (TDD), Type Annotations and Python Packaging.",4,Intermediate,1889.955,0
4285,Getting Started with React using Hooks and REST API,Eric Greene,"Learn how to use React, Function and Class Components, Props, State Hook, Callback Hook, Effect Hook, Fetch and Promises",5,All Levels,1034.955,1439.955
278,The Complete Elixir and Phoenix Bootcamp,Stephen Grider,Master Functional Programming techniques with Elixir and Phoenix while learning to build compelling web applications!,17,All Levels,1439.955,2159.955
1061,"The Complete Neural Networks Bootcamp: Theory, Applications",Fawaz Sammani,"Deep Learning and Neural Networks Theory and Applications with PyTorch! Including Transformers, BERT and GPT!",44,All Levels,1439.955,3239.955
2920,Linked List Data Structure using Python,Febin George,Unlock your data structures potential by being able to create your own linked list in Python,4,Intermediate,1214.955,2834.955
1479,"Coding for beginners :( HTML,CSS,JavaScript,Python,C#,Ruby)",Bluelime Learning Solutions,Learn to code in Six different languages,22,Beginner,1439.955,3824.955
1147,"SQL Server Analysis Services - SSAS, Data Mining & Analytics",Siddharth Mehta,Develop SSAS cubes from data warehouse on Multidimensional & Tabular modes with Dimensional & Data Mining Models,8,All Levels,1439.955,7199.955
407,Core Java for Automation Testers- Coding made Easy,Rahul Shetty,A step by step Practical tutorial to master in JAVA with tons of Programming examples and Interview Questions,10,All Levels,1214.955,3059.955
